,"30-oct-2020"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"GCARSOA1","GRUPO CARSO SERIES A1","Equity","0.78","39.28","9,841,688.00","386,581,504.64","386,581,504.64","Industriales","2393452","MXP461181085","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.76","106.81","3,502,506.00","374,102,665.86","374,102,665.86","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.64","84.71","3,751,924.00","317,825,482.04","317,825,482.04","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LABB","GENOMMA LAB INTERNATIONAL","Equity","0.62","18.81","16,318,471.00","306,950,439.51","306,950,439.51","Cuidado de la Salud","B3B1C73","MX01LA010006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","0.55","17.54","15,440,680.00","270,829,527.20","270,829,527.20","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.49","57.09","4,270,494.00","243,802,502.46","243,802,502.46","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.40","18.25","10,807,594.00","197,238,590.50","197,238,590.50","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.36","100.00","177,727,953.00","177,727,953.47","177,727,953.47","Liquidez","-","-","-","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.23","4.99","22,668,385.00","113,115,241.15","113,115,241.15","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
 
