,"31-ago-2020"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"LABB","GENOMMA LAB INTERNATIONAL","Equity","0.76","22.96","17,992,188.00","413,100,636.48","413,100,636.48","Cuidado de la Salud","B3B1C73","MX01LA010006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.70","86.04","4,429,621.00","381,124,590.84","381,124,590.84","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","0.55","17.50","17,300,945.00","302,766,537.50","302,766,537.50","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.50","22.63","12,165,591.00","275,307,324.33","275,307,324.33","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.50","57.50","4,774,773.00","274,549,447.50","274,549,447.50","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.37","100.00","200,141,010.00","200,141,009.92","200,141,009.92","Liquidez","-","-","-","México","MXN","MXN","1.00"
"BSMXB","BANCO SANTANDER B SA","Equity","0.35","13.97","13,647,492.00","190,655,463.24","190,655,463.24","Financieros","BF1FXN2","MX41BS060005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.33","7.18","24,746,092.00","177,676,940.56","177,676,940.56","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.26","54.57","2,622,923.00","143,132,908.11","143,132,908.11","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
 
