,"31-mar-2020"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"LABB","GENOMMA LAB INTERNATIONAL","Equity","0.67","18.87","21,678,583.00","409,074,861.21","409,074,861.21","Cuidado de la Salud","B3B1C73","MX01LA010006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.54","69.95","4,719,341.00","330,117,902.95","330,117,902.95","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.49","51.77","5,751,725.00","297,766,803.25","297,766,803.25","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.46","100.00","281,598,487.00","281,598,486.86","281,598,486.86","Liquidez","-","-","-","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.44","9.06","29,820,109.00","270,170,187.54","270,170,187.54","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BSMXB","BANCO SANTANDER B SA","Equity","0.42","15.64","16,457,704.00","257,398,490.56","257,398,490.56","Financieros","BF1FXN2","MX41BS060005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.36","15.18","14,659,462.00","222,530,633.16","222,530,633.16","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.32","62.49","3,152,116.00","196,975,728.84","196,975,728.84","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALPEKA","ALPEK SA DE CV","Equity","0.15","8.45","11,099,491.00","93,790,698.95","93,790,698.95","Materiales","B85H8C9","MX01AL0C0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
 
