,"30-sep-2020"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"SITESB.1","TELESITES B-1","Equity","0.79","19.90","21,165,563.00","421,194,703.70","421,194,703.70","Comunicación","BD0G5P8","MX01SI080038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.72","103.03","3,709,748.00","382,215,336.44","382,215,336.44","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LABB","GENOMMA LAB INTERNATIONAL","Equity","0.71","21.64","17,284,282.00","374,031,862.48","374,031,862.48","Cuidado de la Salud","B3B1C73","MX01LA010006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.63","83.39","3,973,404.00","331,342,159.56","331,342,159.56","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.54","62.86","4,522,823.00","284,304,653.78","284,304,653.78","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","0.51","16.56","16,354,285.00","270,826,959.60","270,826,959.60","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.46","21.08","11,447,513.00","241,313,574.04","241,313,574.04","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.35","100.00","184,362,618.00","184,362,617.81","184,362,617.81","Liquidez","-","-","-","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.29","6.31","24,009,921.00","151,502,601.51","151,502,601.51","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
 
