,"28-feb-2020"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"BOLSAA","BOLSA MEXICANA DE VALORES","Equity","0.74","41.58","12,024,858.00","499,993,595.64","499,993,595.64","Financieros","B39VVF6","MX01BM1B0000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.72","91.81","5,338,000.00","490,081,780.00","490,081,780.00","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.63","97.98","4,379,450.00","429,098,511.00","429,098,511.00","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"CUERVO*","BECLE SA DE CV","Equity","0.61","29.97","13,831,464.00","414,528,976.08","414,528,976.08","Productos básicos de consumo","BYM4063","MX01CU010003","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LABB","GENOMMA LAB INTERNATIONAL","Equity","0.59","19.92","20,117,885.00","400,748,269.20","400,748,269.20","Cuidado de la Salud","B3B1C73","MX01LA010006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BSMXB","BANCO SANTANDER B SA","Equity","0.57","25.19","15,272,541.00","384,715,307.79","384,715,307.79","Financieros","BF1FXN2","MX41BS060005","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"RA","REGIONAL SAB DE CV","Equity","0.47","109.43","2,925,522.00","320,139,872.46","320,139,872.46","Financieros","BG1Z6X0","MX01R0000006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.30","100.00","203,859,537.00","203,859,537.37","203,859,537.37","Liquidez","-","-","-","México","MXN","MXN","1.00"
"ALPEKA","ALPEK SA DE CV","Equity","0.20","13.32","10,300,047.00","137,196,626.04","137,196,626.04","Materiales","B85H8C9","MX01AL0C0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
 
