,"31-dic-2020"
 
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,,ISIN,Bolsa de valores,Ubicación,Moneda,Mercado de divisas,Tipo de Cambio
"SITESB.1","TELESITES B-1","Equity","0.73","21.52","17,885,517.00","384,896,325.84","384,896,325.84","Comunicación","BD0G5P8","MX01SI080038","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"BBAJIOO","BANCO DEL BAJIO INSTITUCION DE BAN","Equity","0.72","27.28","13,821,145.00","377,040,835.60","377,040,835.60","Financieros","BYSX0F3","MX41BB000000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GCC*","GRUPO CEMENTOS","Equity","0.72","120.02","3,135,249.00","376,292,584.98","376,292,584.98","Materiales","2946663","MX01GC2M0006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"Q*","QUALITAS CONTROLADORA","Equity","0.68","107.14","3,354,604.00","359,412,272.56","359,412,272.56","Financieros","BYMXF65","MX01Q0000008","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LABB","GENOMMA LAB INTERNATIONAL","Equity","0.52","18.84","14,585,872.00","274,797,828.48","274,797,828.48","Cuidado de la Salud","B3B1C73","MX01LA010006","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"LIVEPOLC.1","EL PUERTO DE LIVERPOOL C1","Equity","0.51","69.89","3,817,833.00","266,828,348.37","266,828,348.37","Consumo discrecional","2306814","MXP369181377","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"ALSEA*","ALSEA DE CV","Equity","0.48","25.89","9,735,854.00","252,061,260.06","252,061,260.06","Consumo discrecional","2563017","MXP001391012","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"GENTERA*","GENTERA SAB DE CV","Equity","0.37","9.73","20,261,761.00","197,146,934.53","197,146,934.53","Financieros","BHWQZW1","MX01GE0E0004","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"MXN","MXN CASH","Cash","0.30","100.00","157,880,201.00","157,880,201.18","157,880,201.18","Liquidez","-","-","-","México","MXN","MXN","1.00"
"NMKA","CONTROLADORA NEMAK SAB DE CV","Equity","0.27","2.62","54,137,733.00","141,840,860.46","141,840,860.46","Consumo discrecional","BNC5F75","MX01NM010000","Bolsa Mexicana De Valores","México","MXN","MXN","1.00"
"USD","USD CASH","Cash","0.01","1,992.43","275,687.00","5,493,197.93","5,493,197.93","Liquidez","-","-","-","Estados Unidos","MXN","USD","0.05"
 
